Name,Designation,Department,Email,Profile_URL
Dr. Jayapradha J,Assistant Professor,,,https://www.srmist.edu.in/faculty/j-jayapradha/
Dr. Jesline,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-jesline-d/
Dr. Jishnu K S,Assistant Professor,,,https://www.srmist.edu.in/faculty/jishnu-k-s/
Dr. Kandan M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-m-kandan/
Dr. Kanmani S,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-kanmani-sivagar/
Dr. Karthic S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-kathic-s/
Dr. Karthick S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-karthic-s/
Dr. Karthikeyan M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-karthikeyan/
Dr. Karthikeyan U,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-u-karthikeyan/
Dr. Kavitha R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-kavitha-r/
Dr. Kavitha S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-kavitha-s/
Dr. Keerthana R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-keerthana-r-2/
Dr. Kirubanantham P,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-kirubanantham-p/
Dr. Kishore Anthuvan Sahayaraj K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-k-kishore-anthuvan-sahayaraj/
Dr. Lavanya R,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-r-lavanya/
Dr. Lubin Balasubramanian,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-lubin-balasubramanian/
Dr. Madhumitha Kulandaivel,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-k-madhumitha/
Dr. Madhura R,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-madhura-r/
Dr. Madhusudhanan N,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-madhusudhanan-n/
Dr. Maheswaran N,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-maheshwaran/
Dr. Malarselvi G,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-g-malarselvi/
Dr. Mangalagowri R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-mangalagowri-r/
Dr. Mani Deepak Choudhry,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-mani-deepak-choudhry/
Dr. Manju A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-a-manju/
Dr. Manjula R,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-r-manjula/
